"y","d","X1","X2"
0,0,1500,22
45215,1,1500,27
26589,1,1500,25
18300,1,1500,25
0,1,1506,26
12027,1,1517,25
13104,0,1520,33
4518,1,1524,36
29590,1,1530,32
0,0,1540,22
629,0,1542,42
4310,1,1546,36
1014,1,1550,29
26655,1,1560,27
651,1,1562,31
31440,1,1564,22
25766,1,1569,40
6786,0,1570,23
17087,1,1576,40
9763,1,1580,34
0,1,1589,22
28475,0,1591,29
11897,1,1597,28
3434,0,1600,28
12471,1,1600,43
4017,1,1600,29
0,0,1600,40
318,1,1600,25
10042,1,1600,37
36899,1,1600,42
384,1,1600,22
145,0,1601,24
27198,1,1604,35
14465,1,1608,31
1791,0,1614,22
6668,0,1615,24
7612,1,1620,22
18848,0,1624,24
1221,1,1625,37
13741,1,1644,35
17448,1,1646,30
339,1,1648,46
21793,1,1651,34
0,0,1658,45
43929,1,1660,28
1933,1,1671,35
11646,0,1679,22
1761,1,1680,24
24276,1,1683,39
3358,0,1684,30
24278,1,1685,30
0,0,1688,29
0,1,1695,31
23578,0,1700,35
11635,1,1700,23
11349,0,1701,23
12556,1,1704,30
1086,1,1712,22
13299,1,1720,40
0,1,1725,32
22603,1,1728,27
3749,1,1729,41
41892,1,1735,37
14409,1,1736,23
56291,1,1739,23
8940,0,1741,38
38820,0,1750,49
21572,1,1751,23
4776,0,1760,33
28804,1,1768,22
5232,0,1777,22
1998,1,1782,28
16869,1,1783,41
2261,0,1798,26
25212,1,1800,31
3250,1,1800,23
933,0,1800,40
18267,1,1800,24
0,1,1800,23
11671,1,1800,31
28776,1,1800,33
1833,1,1800,39
9084,0,1800,32
40,1,1808,29
8917,1,1814,25
15113,1,1820,30
11964,1,1837,42
33836,1,1840,29
26932,1,1850,23
15761,1,1854,47
12596,1,1855,32
864,1,1877,24
30138,1,1880,28
22185,1,1886,34
16287,1,1895,26
0,1,1900,40
0,0,1900,30
47432,0,1900,50
708,1,1905,37
20133,1,1906,49
0,1,1914,24
0,0,1927,22
20190,1,1935,43
7449,1,1940,31
3435,1,1942,30
23761,1,1945,23
44496,0,1946,31
34188,1,1948,44
42071,1,1949,29
0,1,1950,42
35772,1,1955,31
28029,0,1957,37
19045,1,1960,43
2730,1,1967,31
21123,1,1968,40
10392,1,1979,22
6275,1,1980,33
13998,0,1985,43
17280,0,1989,45
186,1,1992,29
231,1,1995,50
45177,1,1998,25
6432,0,2000,32
13367,0,2000,42
321,1,2000,31
0,1,2000,33
1219,1,2000,41
27914,1,2000,43
10784,1,2000,23
795,1,2000,27
297,0,2000,47
14040,1,2000,23
18442,0,2000,37
0,0,2000,23
10885,1,2000,43
13135,1,2000,35
0,0,2000,39
53353,0,2000,39
18918,1,2000,24
19808,1,2000,26
11097,1,2000,27
6520,1,2000,32
18848,1,2000,42
28509,1,2000,32
11181,1,2000,33
4401,1,2000,28
20561,0,2000,24
17833,1,2000,27
36039,0,2000,26
594,1,2000,31
14430,1,2000,24
2269,1,2000,23
28313,1,2000,23
6465,0,2000,33
13804,1,2000,42
30439,0,2000,24
68628,1,2000,23
20850,1,2000,28
17826,0,2000,27
0,1,2000,22
29452,0,2003,39
199,1,2010,31
6689,0,2012,31
41994,1,2016,25
14548,0,2020,23
0,0,2025,33
1350,1,2026,22
0,0,2040,29
14598,0,2041,29
66810,0,2047,37
31776,1,2060,22
43239,1,2061,29
312,1,2064,33
1275,0,2079,23
5314,1,2080,41
5826,0,2095,29
26016,0,2100,23
12138,1,2100,26
20523,1,2100,28
11619,1,2112,49
17500,1,2114,24
8418,1,2120,38
11406,0,2128,36
4154,1,2131,23
556,1,2135,37
45,1,2144,27
12375,1,2150,23
0,1,2157,34
7152,0,2160,31
9756,1,2164,28
10433,1,2165,23
8826,0,2173,34
13128,1,2178,26
0,1,2179,43
40434,0,2180,26
3966,0,2184,23
32709,1,2185,40
0,0,2188,24
344,1,2189,35
40139,1,2191,42
2198,1,2193,24
1293,1,2200,32
13629,1,2200,27
19739,0,2200,34
2613,0,2200,42
8101,1,2200,29
0,0,2202,26
11146,1,2205,47
33882,0,2206,40
31431,1,2212,29
0,1,2218,25
17469,1,2220,36
18270,1,2222,24
458,1,2223,34
8195,0,2224,22
28090,1,2232,28
780,0,2234,33
3525,1,2240,24
2675,1,2241,31
23896,1,2246,25
214,1,2250,32
0,0,2262,29
34294,1,2263,48
9264,1,2270,22
23478,1,2272,40
7560,0,2275,24
29949,0,2282,42
19327,1,2283,32
0,1,2285,23
12708,1,2296,31
5328,1,2299,29
13215,1,2300,39
2652,1,2300,23
26055,1,2300,28
3656,0,2300,26
11979,1,2304,41
2053,1,2308,22
39564,0,2309,40
5068,0,2310,33
5955,1,2314,31
30130,1,2317,23
4669,0,2320,25
22908,0,2328,41
25669,1,2330,31
0,0,2340,42
26535,1,2344,24
0,1,2349,45
0,1,2350,35
22851,1,2360,28
35505,1,2389,23
2022,1,2391,37
0,1,2400,32
4308,1,2400,43
3710,0,2400,39
2280,1,2400,28
10263,1,2400,41
14989,0,2400,23
8076,1,2400,26
1371,0,2400,32
5418,0,2400,42
0,1,2400,35
17905,1,2409,24
41031,1,2411,39
4676,1,2416,32
18154,1,2418,37
18038,1,2422,39
8109,1,2426,29
12716,0,2428,24
39126,1,2430,24
11249,1,2433,27
5910,0,2436,32
47410,0,2439,33
30327,0,2440,33
654,1,2441,25
3900,1,2444.656,22
13346,1,2444.656,22
2865,1,2444.656,27
0,1,2444.656,36
0,1,2444.656,22
12249,0,2444.656,32
25401,0,2444.656,35
0,1,2444.656,37
23832,1,2444.656,34
417,0,2444.656,29
5622,1,2444.656,25
0,1,2444.656,25
55929,1,2444.656,25
12129,1,2444.656,24
28713,1,2444.656,48
24721,0,2444.656,50
38768,1,2444.656,25
1453,1,2444.656,31
738,0,2444.656,26
43834,0,2444.656,25
420,1,2444.656,22
23502,0,2444.656,39
41530,1,2444.656,28
8844,0,2444.656,27
2235,1,2444.656,24
17813,1,2444.656,24
26538,1,2444.656,38
13397,0,2444.656,25
30112,1,2444.656,25
30156,0,2444.656,28
45408,1,2444.656,31
6327,1,2444.656,24
13869,0,2444.656,27
4677,1,2444.656,33
153,1,2444.656,23
816,0,2444.656,30
0,1,2444.656,42
14023,1,2444.656,43
0,0,2444.656,35
13899,1,2444.656,24
129,1,2444.656,22
2757,1,2444.656,37
240,1,2444.656,30
18411,0,2444.656,50
18041,1,2444.656,26
2316,1,2444.656,29
41108,1,2444.656,41
7500,1,2444.656,23
0,1,2444.656,22
1898,1,2444.656,24
372,1,2444.656,25
555,0,2444.656,30
1599,1,2444.656,23
10737,0,2444.656,42
38235,0,2444.656,42
8924,0,2444.656,34
1521,0,2444.656,50
13077,1,2444.656,47
1362,1,2444.656,36
5715,1,2444.656,22
359,1,2444.656,31
19798,1,2444.656,24
8019,1,2444.656,36
17625,1,2444.656,34
37062,1,2444.656,26
11792,1,2444.656,43
1809,0,2444.656,25
0,1,2444.656,23
16059,1,2444.656,26
10350,1,2444.656,23
13796,1,2444.656,28
7384,1,2444.656,41
13349,0,2444.656,27
1029,1,2444.656,23
4023,1,2444.656,24
6047,1,2444.656,25
1593,1,2444.656,28
15306,1,2444.656,30
31635,1,2444.656,23
17707,1,2444.656,29
11680,1,2444.656,28
7058,1,2444.656,40
15935,0,2444.656,22
4512,0,2444.656,24
14171,1,2444.656,22
0,1,2444.656,28
1341,0,2444.656,22
27,1,2444.656,29
29426,0,2444.656,24
870,0,2444.656,31
15586,1,2444.656,37
11346,0,2444.656,24
21822,1,2444.656,42
0,0,2444.656,28
3663,1,2444.656,28
4319,0,2444.656,44
33312,1,2444.656,43
6838,0,2444.656,28
0,0,2444.656,48
102,1,2444.656,37
1230,1,2444.656,28
7306,1,2444.656,28
153,1,2444.656,23
7766,0,2444.656,28
26319,1,2444.656,32
27941,1,2444.656,28
33316,1,2444.656,33
31427,1,2444.656,35
4053,0,2444.656,42
23429,1,2444.656,28
537,0,2444.656,27
7626,1,2444.656,31
2472,0,2444.656,31
15936,1,2444.656,24
0,0,2444.656,27
18234,1,2444.656,45
2483,1,2444.656,32
3832,1,2444.656,22
18962,1,2444.656,27
0,1,2444.656,50
3799,1,2444.656,42
12975,1,2444.656,24
28695,1,2444.656,35
17585,0,2444.656,48
6045,0,2444.656,30
293,1,2444.656,22
0,1,2444.656,34
31455,1,2444.656,23
15754,0,2444.656,27
8657,0,2444.656,32
24087,1,2444.656,34
28678,1,2444.656,28
14476,0,2444.656,48
52000,1,2444.656,36
49702,1,2444.656,47
396,1,2444.656,22
1656,1,2444.656,25
29454,1,2444.656,29
4563,1,2444.656,29
19392,0,2444.656,28
23216,0,2444.656,43
9912,1,2444.656,23
37486,0,2444.656,26
24,0,2444.656,30
0,0,2444.656,32
20229,1,2444.656,26
19527,1,2444.656,23
18945,0,2444.656,28
12885,0,2444.656,22
6195,1,2444.656,35
39906,1,2444.656,31
0,0,2444.656,28
0,0,2444.656,39
5535,1,2444.656,35
0,1,2444.656,44
43325,0,2444.656,29
1077,1,2444.656,26
0,0,2444.656,36
0,1,2444.656,38
2972,0,2444.656,40
40223,1,2444.656,23
4940,0,2444.656,35
11034,0,2444.656,26
1128,1,2444.656,41
25448,1,2444.656,27
13923,1,2444.656,34
0,1,2444.656,25
37898,0,2444.656,28
7992,0,2444.656,31
9444,1,2444.656,33
0,1,2444.656,27
0,1,2444.656,30
28023,0,2444.656,47
26904,1,2444.656,23
16484,0,2444.656,32
14067,1,2444.656,26
2844,1,2444.656,45
12230,1,2444.656,23
37838,1,2444.656,32
5922,1,2444.656,34
20689,1,2444.656,27
21156,1,2444.656,47
6606,1,2444.656,27
468,1,2444.656,24
0,1,2444.656,34
19865,1,2444.656,25
0,1,2444.656,34
11214,1,2444.656,30
12690,0,2444.656,24
1923,1,2444.656,31
21912,1,2444.656,39
26190,1,2444.656,28
307,0,2444.656,42
9380,1,2444.656,26
1565,1,2444.656,41
16342,1,2444.656,23
1147,0,2444.656,27
27552,0,2444.656,36
7230,0,2444.656,43
22719,1,2444.656,24
243,0,2445,33
210,0,2448,47
14567,0,2460,32
17717,0,2469,22
16689,1,2471,30
0,0,2477,33
8532,1,2482,22
13089,0,2487,29
395,0,2490,24
12432,0,2496,33
26682,0,2500,24
14508,1,2500,30
5159,1,2500,39
22417,1,2500,43
14219,1,2500,26
35999,1,2500,44
11502,0,2500,27
0,1,2500,34
1647,1,2500,24
0,1,2500,43
207,1,2500,27
789,1,2500,26
12963,1,2500,43
26898,1,2500,33
31218,1,2500,24
0,1,2500,31
22662,1,2508,32
24195,1,2512,22
216,1,2520,31
0,1,2526,37
6099,0,2536,40
20825,1,2550,30
11327,1,2556,24
0,1,2558,24
0,1,2560,36
11863,1,2571,25
17289,1,2574,25
4027,1,2577,35
1617,1,2580,26
22400,1,2584,35
5238,1,2592,29
39102,1,2600,31
49303,0,2600,33
14598,1,2600,23
28409,1,2602,32
44648,1,2604,26
7218,1,2605,39
41307,1,2615,29
7944,1,2620,39
9974,0,2640,22
8819,1,2645,30
33873,1,2646,47
1379,0,2652,28
18648,0,2658,24
1128,1,2664,45
12399,1,2666,38
8861,1,2674,23
6774,0,2680,23
38077,0,2688,33
7893,1,2700,24
4233,0,2700,31
18137,1,2700,31
29970,0,2700,28
7185,0,2702,23
0,1,2710,41
1321,0,2712,43
16463,0,2714,24
0,1,2716,32
22443,0,2720,32
5992,1,2725,26
30942,1,2726,35
28,1,2729,48
1947,0,2732,22
24030,1,2737,26
51965,1,2740,35
17589,1,2743,32
10311,0,2746,22
1463,0,2750,36
24084,0,2755,43
23079,1,2757,47
1902,1,2768,46
1881,1,2771,34
5116,1,2778,23
0,1,2780,22
23279,1,2794,35
358,1,2800,40
25765,1,2800,48
15542,0,2800,35
41028,1,2808,28
7617,1,2809,30
37067,1,2814,27
8075,0,2820,34
